인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판,예측부진재고,예측부진재고금액,판매개선율,권장판매량
2594,9311192,이지듀멜라토닝겔패치시카알로에12g(4매입),1510,nan,6090,854EG,3900.0,8238810.672139935,2112.515556958958,시카알로에,패치4매,2028-07-27,863,24개월 이상,610.0,3900.0,8238810.672139935,900% 이상,6100.0
2595,9311192,이지듀멜라토닝겔패치시카알로에12g(4매입),1510,nan,6090,855EG,3720.0,7858557.871887323,2112.515556958958,시카알로에,패치4매,2028-07-27,863,24개월 이상,610.0,3659.0,7729694.422912827,900% 이상,6100.0
2596,9311192,이지듀멜라토닝겔패치시카알로에12g(4매입),1510,nan,7060,766EF,839.0,1772400.5522885656,2112.515556958958,시카알로에,패치4매,2028-06-22,828,24개월 이상,610.0,0.0,0.0,900% 이상,6100.0
2597,9311194,리프트코어이펙트앰플겔패치(4매입)(홈쇼핑),1510,nan,5000,838EE,1916.0,4025947.763960396,2101.2253465346535,이펙트코어,기타,2028-05-28,803,24개월 이상,149.66666666666666,0.0,0.0,141%,360.79313151041663
2598,9311194,리프트코어이펙트앰플겔패치(4매입)(홈쇼핑),1510,nan,6040,726EE,91.0,191211.50653465345,2101.2253465346535,이펙트코어,기타,2028-05-26,801,24개월 이상,149.66666666666666,0.0,0.0,141%,360.79313151041663
2599,9311194,리프트코어이펙트앰플겔패치(4매입)(홈쇼핑),1510,nan,6040,837EE,32.0,67239.21108910891,2101.2253465346535,이펙트코어,기타,2028-05-28,803,24개월 이상,149.66666666666666,0.0,0.0,141%,360.79313151041663
2600,9311194,리프트코어이펙트앰플겔패치(4매입)(홈쇼핑),1510,nan,6090,726EE,0.0,0.0,2101.2253465346535,이펙트코어,기타,2028-05-26,801,24개월 이상,149.66666666666666,0.0,0.0,141%,360.79313151041663
2601,9311194,리프트코어이펙트앰플겔패치(4매입)(홈쇼핑),1510,nan,6090,837EE,141.0,296272.7738613861,2101.2253465346535,이펙트코어,기타,2028-05-28,803,24개월 이상,149.66666666666666,0.0,0.0,141%,360.79313151041663
2602,9311194,리프트코어이펙트앰플겔패치(4매입)(홈쇼핑),1510,nan,6090,838EE,995.0,2090719.21980198,2101.2253465346535,이펙트코어,기타,2028-05-28,803,24개월 이상,149.66666666666666,51.95555555555549,109170.33022662252,141%,360.79313151041663
2603,9311194,리프트코어이펙트앰플겔패치(4매입)(홈쇼핑),1510,nan,6090,839EE,2280.0,4790793.79009901,2101.2253465346535,이펙트코어,기타,2028-05-29,804,24개월 이상,149.66666666666666,2275.011111111111,4780311.010314631,141%,360.79313151041663
