자재,자재 내역,Stock Quantity on Period End,3평판,대분류,소분류,재고일수
7302509,[사급전환]이지듀멜라에이레티노0.03프로크림10ML 용기,5502.0,0.0,기타,기타,999.0
7302510,[사급전환]이지듀스킨부스터엠티에스앰플3.5ML 단상자,4826.0,0.0,기타,기타,999.0
9001849,[CX]링클솔루션스킨케어스페셜세트(리뉴얼),10.0,0.0,기타,기타,999.0
9001850,[CX]링클솔루션스킨케어3종스페셜세트(리뉴얼),189.0,233.33333333333331,기타,기타,24.300000000000004
9301074,[RX]포스트레이저미네랄비비크림40ml,2513.0,0.0,포스트레이저,병의원,999.0
9301076,[단종][RX]포스트레이저모이스처에센셜미스트120ml,1.0,0.0,포스트레이저,병의원,999.0
9301077,[RX]포스트레이저젤드레싱마스크시트세트(38ml*5ea),123.0,0.0,포스트레이저,병의원,999.0
9301079,[단종][RX]포스트레이저마일드클렌징젤150ml,38.0,0.0,포스트레이저,병의원,999.0
9301091,[단종][RX]센시티브베리어인텐시브150ml,2155.0,58.0,포스트레이저,병의원,1114.655172413793
9301155,[단종][EX]유브이컨트롤울트라쉴드선크림50ml,60.0,281.5,포스트레이저,병의원,6.394316163410302
9301197,[RX]포스트레이저시너지크림50ML,2462.0,0.0,포스트레이저,병의원,999.0
9301240,[단종][RX]포스트레이저에센스토너175ML,2.0,0.0,포스트레이저,병의원,999.0
9301349,[RX]포스트레이저퍼펙트쉴드선50ML,3939.0,770.0,포스트레이저,병의원,153.46753246753246
9301415,[EA]디더블유이지에프크림화이트토닝50ML,12675.0,2261.333333333333,기타,기타,168.15300707547172
9301416,[판촉물_샘플][EA]디더블유이지에프크림화이트토닝2ML(샤섀),1483.0,134.0,기타,기타,332.0149253731343
9301568,[EX]디더블유이지에프더마앰플(5ML*4개입),2.0,0.0,기타,기타,999.0
9301702,[단종][EA]디더블유이지에프멀티비타세럼B14ML,3882.0,78.5,기타,기타,1483.5668789808917
9301703,[단종][EA]디더블유이지에프멀티비타세럼C14ML,4018.0,155.5,기타,기타,775.176848874598
9301704,[단종][EA]디더블유이지에프멀티비타세럼E14ML,4002.0,93.5,기타,기타,1284.0641711229946
9302354,[단종][CX]링클솔루션아이리프트크림프리미엄15ML,92.0,0.0,기타,기타,999.0
9302803,[단종][EA]리더마마스터앰플(1ml*14ea),3949.0,617.6666666666666,기타,기타,191.80248246087427
9302971,[EA]디더블유이지에프크림프레좀알엑스(30ml*3ea),5181.0,403.3333333333333,기타,기타,385.3636363636364
9302972,[단종][EA]디더블유이지에프크림리미티드70ml,2942.0,694.6666666666666,기타,기타,127.05374280230326
9303069,[RX]포스트레이저리페어컨트롤이지에프(10ml*2ea)_리뉴얼,1189.0,104.0,포스트레이저,병의원,342.9807692307692
9303143,[EX]디더블유이지에프크림모이스트플러스50ML(JP),8.0,0.0,기타,기타,999.0
9303193,[EA]디더블유이지에프멜라토닝원데이앰플(1ml*7ea),1.0,0.0,원데이앰플,1ML,999.0
9303194,[단종][EA]디더블유이지에프멜라토닝원데이앰플1ml,10637.0,562.6666666666666,원데이앰플,1ML,567.1386255924172
9303605,[EA]디더블유이지에프크림프레좀알엑스50ml,10077.0,3543.0,기타,기타,85.3259949195597
9303813,[단종][EX]디더블유이지에프더블시너지앰플50ml,8.0,21.33333333333333,포스트레이저,병의원,11.250000000000004
9304300,[단종][EA]디더블유이지에프링클아이크림스틱프리미엄8g,1597.0,2002.6666666666667,기타,기타,23.92310252996005
9304348,[단종][EA]디더블유이지에프크림링클컨트롤50ml,177.0,0.0,기타,기타,999.0
9304907,[EA]디더블유이지에프콜라겐실크림앰플55g,911.0,1324.3333333333333,기타,기타,20.636798389126607
9305080,[EA]디더블유이지에프더마톡스니들샷(40mg*2ea),13972.0,1037.6666666666667,기타,기타,403.9447478316736
9305530,[EA]디더블유이지에프멜라토닝원데이앰플(1ml*7ea)_ver2,17090.0,1925.0,원데이앰플,1ML,266.3376623376623
9305535,[단종][EA]디더블유이지에프멜라토닝원데이앰플1ml_단상자포장없음,13067.0,849.6666666666666,원데이앰플,1ML,461.3691643781876
9305554,[EA]베리어리페어크림105ml,24736.0,4724.666666666667,베리어,베리어,157.06504868068293
9305555,[EA]멜라토닝크림105ml,23163.0,1769.3333333333333,멜라(기타),멜라(기타),392.74114544084404
9305646,[EA]멜라토닝선크림45ml,90.0,1067.6666666666667,멜라(기타),멜라(기타),2.528879175772713
